0,10,10000,1000
13847,756,13847,1385
476,44,476,48
14396,47,14396,1440
8204,836,8204,821
9350,961,9350,935
19596,425,19596,1960
8248,29,8248,825
5122,504,5122,513
17352,24,17352,1736
8169,263,8169,817
4721,385,4721,473
4646,617,4646,465
6356,212,6356,636
13352,751,13352,1336
10211,106,10211,1022
8997,650,8997,900
17310,16,17310,1731
15580,13,15580,1558
2289,211,2289,229
9942,569,9942,995
7302,389,7302,731
6125,662,6125,613
11691,171,11691,1170
18108,126,18108,1811
7509,378,7509,751
9064,987,9064,907
15756,765,15756,1576
8348,491,8348,835
14169,898,14169,1417
14046,38,14046,1405
2851,405,2851,286
7541,641,7541,755
4945,506,4945,495
1439,586,1439,144
4837,171,4837,484
15458,736,15458,1546
3058,4,3058,306
17050,244,17050,1705
9862,694,9862,987
13192,932,13192,1320
4824,587,4824,483
10040,159,10040,1004
551,241,551,56
1693,763,1693,170
15123,334,15123,1513
13739,660,13739,1374
1536,763,1536,154
9672,921,9672,968
13692,216,13692,1370
7669,307,7669,767
1108,695,1108,111
5543,302,5543,555
13210,944,13210,1321
17758,554,17758,1776
5769,363,5769,577
4955,68,4955,496
3321,281,3321,333
13240,938,13240,1324
8928,98,8928,893
2576,409,2576,258
8020,910,8020,802
16482,721,16482,1649
16625,878,16625,1663
11825,990,11825,1183
16235,344,16235,1624
4003,404,4003,401
7251,311,7251,726
5708,607,5708,571
17890,978,17890,1789
1962,72,1962,197
3758,629,3758,376
4332,633,4332,434
8625,32,8625,863
7701,177,7701,771
8135,30,8135,814
19732,658,19732,1974
11279,0,11279,1128
14487,16,14487,1449
17099,4,17099,1710
7230,936,7230,723
19567,102,19567,1957
6997,537,6997,700
8735,494,8735,874
13939,308,13939,1394
16846,712,16846,1685
5106,624,5106,511
17984,99,17984,1799
19217,796,19217,1922
9289,47,9289,929
19847,31,19847,1985
11844,875,11844,1185
1216,358,1216,122
12706,362,12706,1271
4470,205,4470,447
16959,246,16959,1696
3200,528,3200,320
12156,677,12156,1216
143,196,143,15
19118,54,19118,1912
19170,980,19170,1917
15898,601,15898,1590
3393,479,3393,340
1559,2,1559,156
4997,482,4997,500
16147,322,16147,1615
18769,64,18769,1877
5650,917,5650,565
1600,462,1600,160
15952,980,15952,1596
6434,758,6434,644
14595,867,14595,1460
10803,668,10803,1081
4566,839,4566,457
12023,268,12023,1203
13015,449,13015,1302
256,41,256,26
17845,827,17845,1785
10030,972,10030,1003
4205,884,4205,421
3323,45,3323,333
3362,336,3362,337
14177,551,14177,1418
2587,228,2587,259
9853,396,9853,986
9169,728,9169,917
5892,252,5892,590
7207,460,7207,721
8680,878,8680,868
12251,497,12251,1226
8878,743,8878,888
3497,0,3497,350
13353,643,13353,1336
2088,295,2088,209
223,397,223,23
17835,543,17835,1784
3685,389,3685,369
3734,355,3734,374
9587,13,9587,959
1182,137,1182,119
14130,82,14130,1413
5669,672,5669,567
5483,352,5483,549
4702,553,4702,471
8808,498,8808,881
3961,854,3961,397
228,18,228,23
4958,174,4958,496
9516,915,9516,952
17127,894,17127,1713
9281,980,9281,929
6537,644,6537,654
5365,322,5365,537
17540,88,17540,1754
10458,616,10458,1046
18787,628,18787,1879
17500,690,17500,1750
911,910,911,92
5678,455,5678,568
15886,542,15886,1589
8111,764,8111,812
3696,458,3696,370
14688,499,14688,1469
2866,743,2866,287
18062,261,18062,1807
12727,54,12727,1273
16357,952,16357,1636
4024,572,4024,403
12814,892,12814,1282
13253,283,13253,1326
5936,168,5936,594
7026,757,7026,703
7156,271,7156,716
16727,845,16727,1673
12395,4,12395,1240
12230,693,12230,1223
4032,406,4032,404
2050,753,2050,205
13005,448,13005,1301
14502,409,14502,1451
17274,727,17274,1728
5279,317,5279,528
14556,748,14556,1456
5533,139,5533,554
10702,982,10702,1071
16401,893,16401,1641
11320,904,11320,1132
7519,270,7519,752
204,94,204,21
9566,412,9566,957
2545,414,2545,255
14696,188,14696,1470
8257,880,8257,826
2448,903,2448,245
16569,622,16569,1657
17102,748,17102,1711
5834,288,5834,584
9703,269,9703,971
9360,132,9360,936
19787,78,19787,1979
10519,940,10519,1052
4458,756,4458,446
244,117,244,25
5392,517,5392,540
17255,282,17255,1726
8211,964,8211,822
7377,162,7377,738
14433,227,14433,1444
3412,107,3412,342
9800,832,9800,980
12745,914,12745,1275
15387,526,15387,1539
16447,429,16447,1645
2790,291,2790,279
9985,423,9985,999
11793,967,11793,1180
17684,215,17684,1769
19806,881,19806,1981
16117,84,16117,1612
7818,164,7818,782
11050,959,11050,1105
6460,379,6460,646
15702,444,15702,1571
18489,681,18489,1849
773,796,773,78
11819,451,11819,1182
19751,901,19751,1976
12097,855,12097,1210
4439,746,4439,444
741,477,741,75
11300,596,11300,1130
13597,784,13597,1360
15583,962,15583,1559
4653,393,4653,466
10968,471,10968,1097
1672,287,1672,168
9466,370,9466,947
3095,634,3095,310
19859,922,19859,1986
19893,573,19893,1990
6473,327,6473,648
19850,901,19850,1985
14918,333,14918,1492
7103,542,7103,711
2367,919,2367,237
19853,540,19853,1986
5524,783,5524,553
10805,546,10805,1081
14523,387,14523,1453
7572,500,7572,758
14982,979,14982,1499
15492,211,15492,1550
11761,329,11761,1177
3134,153,3134,314
17158,743,17158,1716
6053,771,6053,606
11892,427,11892,1190
4535,407,4535,454
5766,238,5766,577
4043,941,4043,405
14705,757,14705,1471
12722,430,12722,1273
18415,596,18415,1842
2259,387,2259,226
8413,361,8413,842
13119,69,13119,1312
17108,152,17108,1711
18083,999,18083,1809
19046,512,19046,1905
9949,388,9949,995
7620,180,7620,762
10484,896,10484,1049
13633,662,13633,1364
81,245,81,9
11875,759,11875,1188
10624,671,10624,1063
14167,181,14167,1417
1878,893,1878,188
10300,287,10300,1030
16359,776,16359,1636
8517,994,8517,852
11218,884,11218,1122
9102,792,9102,911
6992,171,6992,700
14461,825,14461,1447
10921,978,10921,1093
15835,199,15835,1584
7663,144,7663,767
237,864,237,24
17693,344,17693,1770
12694,996,12694,1270
18398,339,18398,1840
9801,88,9801,981
1862,629,1862,187
19923,202,19923,1993
12244,444,12244,1225
12339,516,12339,1234
12915,268,12915,1292
810,461,810,81
13718,254,13718,1372
19938,692,19938,1994
10959,59,10959,1096
3757,844,3757,376
3123,424,3123,313
11691,827,11691,1170
12272,497,12272,1228
10735,302,10735,1074
16911,243,16911,1692
11222,768,11222,1123
2393,727,2393,240
10774,876,10774,1078
9532,701,9532,954
704,530,704,71
17102,798,17102,1711
10638,845,10638,1064
11051,202,11051,1106
