0,11,9000,1100,0,1000,700
17335,64,17335,1734,17335,8678,8678
353050,153,353050,35305,353050,176700,176700
355310,689,355310,35531,355310,177830,177830
265330,568,265330,26533,265330,132800,132800
269260,464,269260,26926,269260,134760,134760
52843,124,52843,5285,52843,26450,26450
318820,124,318820,31882,318820,159570,159570
141120,337,141120,14112,141120,70632,70632
173810,840,173810,17381,173810,86996,86996
215620,82,215620,21562,215620,107920,107920
360960,262,360960,36096,360960,180660,180660
227870,442,227870,22787,227870,114050,114050
351970,187,351970,35197,351970,176160,176160
111750,234,111750,11175,111750,55934,55934
251540,457,251540,25154,251540,125890,125890
60783,39,60783,6079,60783,30426,30426
209630,394,209630,20963,209630,104930,104930
147060,383,147060,14706,147060,73607,73607
296430,721,296430,29643,296430,148360,148360
356310,512,356310,35631,356310,178330,178330
370430,201,370430,37043,370430,185390,185390
122910,564,122910,12291,122910,61515,61515
115740,472,115740,11574,115740,57929,57929
326680,954,326680,32668,326680,163510,163510
363260,543,363260,36326,363260,181810,181810
235580,401,235580,23558,235580,117910,117910
340760,43,340760,34076,340760,170550,170550
203160,240,203160,20316,203160,101690,101690
337330,190,337330,33733,337330,168830,168830
235040,985,235040,23504,235040,117640,117640
46446,722,46446,4645,46446,23248,23248
150770,254,150770,15077,150770,75463,75463
89303,801,89303,8931,89303,44703,44703
189990,119,189990,18999,189990,95097,95097
212740,534,212740,21274,212740,106480,106480
124060,869,124060,12406,124060,62093,62093
167300,860,167300,16730,167300,83740,83740
8237,653,8237,824,8237,4122,4122
50244,710,50244,5025,50244,25149,25149
365500,165,365500,36550,365500,182930,182930
124500,38,124500,12450,124500,62310,62310
316960,862,316960,31696,316960,158640,158640
74002,46,74002,7401,74002,37046,37046
112720,870,112720,11272,112720,56417,56417
106960,507,106960,10696,106960,53536,53536
215720,742,215720,21572,215720,107970,107970
109800,155,109800,10980,109800,54958,54958
304240,873,304240,30424,304240,152270,152270
28174,371,28174,2818,28174,14103,14103
145140,554,145140,14514,145140,72648,72648
137540,669,137540,13754,137540,68844,68844
1670,692,1670,167,1670,837,837
323620,81,323620,32362,323620,161970,161970
225940,359,225940,22594,225940,113080,113080
81647,319,81647,8165,81647,40872,40872
81185,58,81185,8119,81185,40641,40641
272840,656,272840,27284,272840,136560,136560
200700,433,200700,20070,200700,100460,100460
255530,282,255530,25553,255530,127890,127890
149660,365,149660,14966,149660,74910,74910
30808,832,30808,3081,30808,15422,15422
67078,791,67078,6708,67078,33578,33578
376660,783,376660,37666,376660,188510,188510
325370,78,325370,32537,325370,162850,162850
160900,162,160900,16090,160900,80533,80533
207610,717,207610,20761,207610,103920,103920
24635,895,24635,2464,24635,12330,12330
308540,831,308540,30854,308540,154420,154420
182950,404,182950,18295,182950,91571,91571
318430,941,318430,31843,318430,159380,159380
269760,308,269760,26976,269760,135010,135010
44357,776,44357,4436,44357,22202,22202
43632,334,43632,4364,43632,21840,21840
319280,233,319280,31928,319280,159800,159800
13441,691,13441,1345,13441,6726,6726
329400,717,329400,32940,329400,164870,164870
341920,327,341920,34192,341920,171130,171130
332720,176,332720,33272,332720,166530,166530
223130,200,223130,22313,223130,111680,111680
117730,85,117730,11773,117730,58928,58928
176310,829,176310,17631,176310,88245,88245
334620,553,334620,33462,334620,167480,167480
40417,363,40417,4042,40417,20231,20231
323410,175,323410,32341,323410,161870,161870
229470,130,229470,22947,229470,114850,114850
352200,40,352200,35220,352200,176270,176270
129720,696,129720,12972,129720,64926,64926
232920,220,232920,23292,232920,116580,116580
289740,661,289740,28974,289740,145010,145010
115870,629,115870,11587,115870,57995,57995
338580,820,338580,33858,338580,169460,169460
171710,750,171710,17171,171710,85943,85943
184520,884,184520,18452,184520,92354,92354
181240,979,181240,18124,181240,90715,90715
268630,778,268630,26863,268630,134450,134450
328880,466,328880,32888,328880,164610,164610
111150,602,111150,11115,111150,55633,55633
242360,51,242360,24236,242360,121300,121300
324420,689,324420,32442,324420,162370,162370
174390,959,174390,17440,174390,87290,87290
57740,40,57740,5774,57740,28902,28902
334660,475,334660,33466,334660,167500,167500
312880,102,312880,31288,312880,156600,156600
45827,778,45827,4583,45827,22939,22939
193690,351,193690,19369,193690,96949,96949
159250,663,159250,15925,159250,79710,79710
8197,173,8197,820,8197,4102,4102
